orb_period,xit_duration,xit_depth,body_r_per_stellar_r_rat,body_r,orb_semimajor,inc,body_temp,body_insolation_flux,stellar_temp,stellar_r,stellar_m,kepler_status
0.515552803,1.7869,0.175099,13.96,0.0112,33.54,1807,2508.21,1.354,5068,0.73,0.698,2
0.498434645,0.955,0.014007,1.08,0.0112,85.79,1676,1873.28,3.928,4784,0.708,0.766,2
0.447861451,0.8541,0.015358,1.42,0.0112,83.47,2263,6221.08,3.75,5901,0.848,0.938,2
0.496069986,1.5568,0.010444,10,0.0112,83.7,6285,369989.68,2.454,5096,8.769,0.763,1
0.573762943,2.196,0.00631,0.39,0.0112,86.42,1538,1331.17,2.08,4891,0.571,0.572,2
1.213770423,0.5532,0.048039,0.78,0.0113,85.57,525,18.03,10.76,3292,0.148,0.132,0
0.438153876,1.3885,0.138008,14,0.0113,21.15,2407,8008.07,1.206,6032,0.929,1.014,2
0.739761008,7.589,0.253101,9.67,0.0113,9.74,839,117.05,1.254,3417,0.35,0.354,2
0.824000125,0.855,0.013728,0.42,0.0113,80.79,746,73.09,4.93,3396,0.28,0.28,0
0.52363021,3.45121,0.642432,52.26,0.0113,74.92,1940,3324.98,2.1104,5407,0.745,0.694,2
0.588001053,1.1451,0.015848,0.99,0.0114,83.78,1188,473.45,3.72,3814,0.57,0.576,0
0.727331746,0.8323,0.017336,0.67,0.0115,88.7,849,122.92,6.74,3460,0.356,0.385,0
0.535224793,3.3402,0.013487,1.09,0.0115,89.31,1783,2385.75,1.3901,5044,0.738,0.708,2
0.566804221,4.639,0.012113,0.85,0.0115,61.27,1737,2149.42,1.115,5277,0.64,0.628,2
0.469334634,0.8864,0.021817,2.4,0.0115,58.25,2432,8264.27,1.806,5888,1.008,0.918,2
0.64585177,1.97644,1.010664,51.1,0.0115,75.01,1234,543.24,4.4,4399,0.463,0.48,2
0.566809491,3.156,0.007736,0.55,0.0115,69.94,1656,1790.3,1.413,4987,0.654,0.637,2
0.63133171,1.1487,0.020758,1.2,0.0116,76.59,1322,726.72,3.13,4441,0.53,0.526,0
0.466743525,1.3956,0.218533,20.43,0.0116,31.79,2197,5480.92,1.395,5791,0.856,0.946,2
0.569115976,2.028,0.025083,1.8,0.0116,88.28,1589,1504.24,2.275,4788,0.656,0.639,2
0.531106622,3.0293,0.090648,7.54,0.0116,40.97,1781,2371.49,1.2442,4978,0.762,0.732,2
0.592243731,1.386,0.104857,6.77,0.0116,59.16,1551,1361.22,1.9239,4920,0.591,0.588,1
0.544962596,1.085,0.01474,1.03,0.0116,82.56,1719,2074.18,3.543,5257,0.639,0.713,2
0.517573708,2.23102,0.484349,37.02,0.0116,63.13,1863,2827.01,2.259,5427,0.7,0.776,2
0.572079631,2.27811,0.422048,29.45,0.0116,71.51,1716,2036.56,2.5,5233,0.639,0.627,2
0.561524348,3.336,0.005486,0.43,0.0116,72.19,2050,4173.47,1.369,5919,0.715,0.66,2
0.505079006,1.36737,0.42937,86.41,0.0116,62.83,2997,19181.12,2.593,5398,1.843,0.821,2
0.504426087,1.6276,0.34519,33.96,0.0117,24.92,2339,7077.76,1.457,6043,0.901,0.837,2
0.449249224,4.7565,0.675588,95.83,0.0117,73.13,2941,17801.78,1.7021,6338,1.299,1.065,2
0.532086296,4.023,0.222839,16.99,0.0118,13.57,1790,2417.28,1.233,5271,0.698,0.773,2
0.536544193,2.918,0.01136,0.9,0.0118,79.86,1745,2199.75,1.517,5041,0.728,0.766,2
0.474811162,1.169,0.013399,1.28,0.0118,81.32,2206,5603.32,2.92,5799,0.878,0.975,2
0.518060209,1.8062,0.317784,61.49,0.0118,34.34,2921,17224.79,1.528,5405,1.772,0.816,1
0.575925434,2.4676,0.512661,38.24,0.0118,68.35,1834,2666.7,2.4521,5461,0.683,0.656,2
0.525154153,2.1441,0.255581,23.61,0.0119,23.56,2073,4391.51,1.337,5582,0.846,0.819,2
0.635445336,1.8592,0.316337,19,0.0119,40.74,1177,451.42,1.654,3920,0.55,0.554,2
0.51872711,1.252,0.229228,19.07,0.0119,36.23,1965,3537.27,1.486,5572,0.762,0.853,2
0.505111993,0.4053,0.018445,1.58,0.0119,81.27,1886,2970.58,5.54,5262,0.783,0.875,1
0.566816802,1.981,0.008803,0.68,0.0119,78.74,1585,1483.43,2.123,4665,0.704,0.695,2
0.58640848,2.616,0.007074,0.48,0.0119,78.38,1444,1029.91,1.747,4556,0.615,0.669,2
